Property,Type,Units,Description,URL
HOMO energy#experiment,float,eV,"The {model} energy of the highest occupied molecular orbital (HOMO)",https://en.wikipedia.org/wiki/HOMO_and_LUMO
LUMO energy#experiment,float,eV,"The {model} energy of the lowest unoccupied molecular orbital (LUMO)",https://en.wikipedia.org/wiki/HOMO_and_LUMO
band gap#experiment,float,eV,"The band gap in a solid.",https://en.wikipedia.org/wiki/Band_gap
chemical formula,str,,"The chemical formula of the molecule or conventional unit cell.",
constant pressure heat capacity#experiment,float,J/mol/K,"The constant-pressure heat capacity, Cp.",https://en.wikipedia.org/wiki/Heat_capacity
constant volume heat capacity#experiment,float,J/mol/K,"The constant-volume heat capacity, Cv.",https://en.wikipedia.org/wiki/Heat_capacity
density,float,g/mL,https://en.wikipedia.org/wiki/Density
density#experiment,float,g/mL,https://en.wikipedia.org/wiki/Density
dipole moment#experiment,float,D,"The electric dipole moment, which is the magnitude of the dipole vector.",https://en.wikipedia.org/wiki/Electric_dipole_moment
empirical formula,str,,"The empirical formula of the molecule or conventional unit cell.",
enthalpy of formation#experiment,float,kJ/mol,"The enthalpy of formation, DHf.",https://en.wikipedia.org/wiki/Standard_enthalpy_of_formation
entropy#experiment,float,J/mol/K,"The standard entropy.",https://en.wikipedia.org/wiki/Entropy
ionization energy#experiment,float,eV,"The ionization energy or potential.",https://en.wikipedia.org/wiki/Ionization_energy
molecular weight,float,Da,"The molecular weight in Daltons.",
nuclear repulsion energy,float,eV,"The repulsion energy between the nuclei, based on atomic numbers and distances",
unit cell volume,float,Å^3,"The volume of the unit cell.",
